id,employeeid,log_datetime,direction,shortname,serialno
1,JYOTHI123,2024-07-16 15:55:57+00,In Device,CHECKIN,NCD8242000216
2,RAGINI001,2024-07-16 15:57:18+00,In Device,CHECKIN,NCD8242000216
3,JYOTHI123,2024-07-29 12:45:46+00,In Device,CHECKIN,NCD8242000216
4,1183,2024-07-29 12:47:20+00,In Device,CHECKIN,NCD8242000216
5,911,2024-07-29 12:52:48+00,In Device,CHECKIN,NCD8242000216
6,1287,2024-07-29 12:54:02+00,In Device,CHECKIN,NCD8242000216
7,1371,2024-07-29 12:55:26+00,In Device,CHECKIN,NCD8242000216
8,1,2024-07-29 12:56:15+00,In Device,CHECKIN,NCD8242000216
9,1601,2024-07-29 12:57:56+00,In Device,CHECKIN,NCD8242000216
10,RAGINI001,2024-07-29 12:59:26+00,In Device,CHECKIN,NCD8242000216
11,1525,2024-07-29 13:00:29+00,In Device,CHECKIN,NCD8242000216
12,1514,2024-07-29 13:02:31+00,In Device,CHECKIN,NCD8242000216
13,1663,2024-07-29 13:05:25+00,In Device,CHECKIN,NCD8242000216
14,1271,2024-07-29 13:12:39+00,In Device,CHECKIN,NCD8242000216
15,1534,2024-07-29 13:13:37+00,In Device,CHECKIN,NCD8242000216
16,1201,2024-07-29 13:14:56+00,In Device,CHECKIN,NCD8242000216
17,1528,2024-07-29 13:18:08+00,In Device,CHECKIN,NCD8242000216
18,1232,2024-07-29 13:58:55+00,In Device,CHECKIN,NCD8242000216
19,1421,2024-07-29 13:59:58+00,In Device,CHECKIN,NCD8242000216
20,1258,2024-07-29 14:00:03+00,In Device,CHECKIN,NCD8242000216
21,1287,2024-07-29 19:28:11+00,In Device,CHECKIN,NCD8242000216
22,1287,2024-07-29 21:58:28+00,In Device,CHECKIN,NCD8242000216
23,1258,2024-07-30 05:50:29+00,In Device,CHECKIN,NCD8242000216
24,1287,2024-07-30 05:51:32+00,In Device,CHECKIN,NCD8242000216
25,1232,2024-07-30 05:53:01+00,In Device,CHECKIN,NCD8242000216
26,1469,2024-07-30 05:53:03+00,In Device,CHECKIN,NCD8242000216
27,1601,2024-07-30 05:53:09+00,In Device,CHECKIN,NCD8242000216
28,1194,2024-07-30 05:53:13+00,In Device,CHECKIN,NCD8242000216
29,1534,2024-07-30 06:03:35+00,In Device,CHECKIN,NCD8242000216
30,1201,2024-07-30 06:03:37+00,In Device,CHECKIN,NCD8242000216
31,1183,2024-07-30 06:05:00+00,In Device,CHECKIN,NCD8242000216
32,1271,2024-07-30 06:05:11+00,In Device,CHECKIN,NCD8242000216
33,1663,2024-07-30 06:05:47+00,In Device,CHECKIN,NCD8242000216
34,1645,2024-07-30 06:10:13+00,In Device,CHECKIN,NCD8242000216
35,1663,2024-07-30 07:59:58+00,In Device,CHECKIN,NCD8242000216
36,1644,2024-07-30 08:36:31+00,In Device,CHECKIN,NCD8242000216
37,1643,2024-07-30 08:42:03+00,In Device,CHECKIN,NCD8242000216
38,1287,2024-07-30 10:57:47+00,In Device,CHECKIN,NCD8242000216
39,1403,2024-07-30 11:43:10+00,In Device,CHECKIN,NCD8242000216
40,1663,2024-07-30 12:11:28+00,In Device,CHECKIN,NCD8242000216
41,911,2024-07-30 13:41:52+00,In Device,CHECKIN,NCD8242000216
42,1403,2024-07-30 13:56:14+00,In Device,CHECKIN,NCD8242000216
